dataset_name,before_fix_global_accuracy,new_global_accuracy,user_input_size,repair_time,min_non_abstain_thresh,random_state,confirm_prev_rate,complain_fix_rate,global_accuracy_on_valid_data,new_global_accuracy_on_valid,valid_global_data_size,new_valid_global_data_size,runtimes,optimal_objective_value,avg_tree_depth,tree_cnt_after_fix,avg_tree_size,runtime_total,lf_acc_thresh,instance_acc_thresh
agnews,0.5437,0.7255166666666667,20,1.067986249923706,0.8,1,1.0,1.0,0.8099612672559341,0.7255166666666667,40276,60000,"{'snorkel_first_run': 16.492344856262207, 'snorkel_run_after_fix': 41.202213525772095, 'solver_runtime': 0.5797452926635742, 'repair_time': 1.067986249923706}",131.0,6.555555555555555,9,13.444444444444445,59.34228992462158,0.7,0.8
agnews,0.5437,0.5964333333333334,20,1.2959246635437012,0.8,2,1.0,1.0,0.8099612672559341,0.5964333333333334,40276,60000,"{'snorkel_first_run': 16.870025634765625, 'snorkel_run_after_fix': 48.16619944572449, 'solver_runtime': 0.5794689655303955, 'repair_time': 1.2959246635437012}",127.0,6.555555555555555,9,14.11111111111111,66.91161870956421,0.7,0.8
agnews,0.5437,0.5217666666666667,20,0.9288101196289062,0.8,3,1.0,1.0,0.8099612672559341,0.5217666666666667,40276,60000,"{'snorkel_first_run': 16.856470346450806, 'snorkel_run_after_fix': 32.40773963928223, 'solver_runtime': 0.7196030616760254, 'repair_time': 0.9288101196289062}",132.0,6.111111111111111,9,12.777777777777779,50.912623167037964,0.7,0.8
agnews,0.5437,0.6421333333333333,20,0.8813283443450928,0.8,4,0.9,1.0,0.8099612672559341,0.6421333333333333,40276,60000,"{'snorkel_first_run': 16.93486762046814, 'snorkel_run_after_fix': 29.37043070793152, 'solver_runtime': 0.6328480243682861, 'repair_time': 0.8813283443450928}",127.0,4.888888888888889,9,9.0,47.81947469711304,0.7,0.8
agnews,0.5437,0.5985833333333334,20,1.7500190734863281,0.8,5,1.0,0.8,0.8099612672559341,0.5985833333333334,40276,60000,"{'snorkel_first_run': 17.005545616149902, 'snorkel_run_after_fix': 47.671645641326904, 'solver_runtime': 0.8563532829284668, 'repair_time': 1.7500190734863281}",133.0,6.222222222222222,9,12.333333333333334,67.2835636138916,0.7,0.8
agnews,0.5437,0.6011666666666666,20,1.2868402004241943,0.8,6,0.9,0.9,0.8099612672559341,0.6011666666666666,40276,60000,"{'snorkel_first_run': 17.033597707748413, 'snorkel_run_after_fix': 34.16473412513733, 'solver_runtime': 0.7862522602081299, 'repair_time': 1.2868402004241943}",134.0,6.333333333333333,9,12.11111111111111,53.271424293518066,0.7,0.8
agnews,0.5437,0.5878666666666666,20,0.958582878112793,0.8,7,0.7,0.7,0.8099612672559341,0.5878666666666666,40276,60000,"{'snorkel_first_run': 23.21177339553833, 'snorkel_run_after_fix': 46.19990277290344, 'solver_runtime': 1.2530903816223145, 'repair_time': 0.958582878112793}",127.0,6.333333333333333,9,13.444444444444445,71.62334942817688,0.7,0.8
agnews,0.5437,0.5270666666666667,20,1.2204070091247559,0.8,8,1.0,0.8,0.8099612672559341,0.5270666666666667,40276,60000,"{'snorkel_first_run': 16.59070873260498, 'snorkel_run_after_fix': 34.33335328102112, 'solver_runtime': 0.9321866035461426, 'repair_time': 1.2204070091247559}",135.0,6.333333333333333,9,12.777777777777779,53.076655626297,0.7,0.8
agnews,0.5437,0.66335,20,0.9964942932128906,0.8,9,1.0,0.6,0.8099612672559341,0.66335,40276,60000,"{'snorkel_first_run': 17.2853102684021, 'snorkel_run_after_fix': 30.370158910751343, 'solver_runtime': 0.8567395210266113, 'repair_time': 0.9964942932128906}",131.0,5.444444444444445,9,10.777777777777779,49.508702993392944,0.7,0.8
agnews,0.5437,0.65525,20,1.040489912033081,0.8,10,1.0,0.9,0.8099612672559341,0.65525,40276,60000,"{'snorkel_first_run': 17.173089742660522, 'snorkel_run_after_fix': 33.804402112960815, 'solver_runtime': 0.8555202484130859, 'repair_time': 1.040489912033081}",125.0,6.222222222222222,9,12.555555555555555,52.873502016067505,0.7,0.8
agnews,0.5437,0.52915,20,1.0363366603851318,0.8,11,1.0,1.0,0.8099612672559341,0.52915,40276,60000,"{'snorkel_first_run': 17.247227907180786, 'snorkel_run_after_fix': 33.67473363876343, 'solver_runtime': 0.9268290996551514, 'repair_time': 1.0363366603851318}",133.0,5.888888888888889,9,12.555555555555555,52.8851273059845,0.7,0.8
agnews,0.5437,0.68265,20,1.3679702281951904,0.8,12,0.8,0.9,0.8099612672559341,0.68265,40276,60000,"{'snorkel_first_run': 17.043804168701172, 'snorkel_run_after_fix': 31.125555515289307, 'solver_runtime': 0.6175384521484375, 'repair_time': 1.3679702281951904}",132.0,5.333333333333333,9,11.88888888888889,50.154868364334106,0.7,0.8
